"study1","barrel1","bullet1","land1","study2","barrel2","bullet2","land2","ccf","rough_cor","D","sd_D","matches","mismatches","cms","non_cms","sum_peaks","samesource"
"Hamby252","2","2",6,"Hamby173","3","2",4,0.272634161807631,0.0800858913532216,3.22178738526648,2.97256818752266,1.62849872773537,9.22815945716709,0.542832909245123,4.88549618320611,2.85032872224072,FALSE
"Hamby252","2","1",4,"Hamby173","4","2",3,0.301769285224285,-0.376079879068079,6.3542400439576,3.47236354159717,0,8.90343698854337,0,8.90343698854337,0,FALSE
"Hamby252","2","1",5,"Hamby252","Unk","J",4,0.390432597074916,0.279673054825669,1.98237167742759,2.65064331946449,5.97623089983022,8.14940577249576,2.71646859083192,4.88964346349745,5.93162393125744,FALSE
"Hamby173","5","1",6,"Hamby173","Unk","M",1,0.704360373304485,0.0509526898845774,1.32832125066475,2.28790010881359,5.40084388185654,6.48101265822785,4.32067510548523,3.24050632911392,3.44858315631836,FALSE
"Hamby173","Unk","C",1,"Hamby173","Unk","V",3,0.10240444133461,-0.381313710049995,8.14255108486048,3.7349802283399,0.593141797961075,14.2354031510658,0.593141797961075,8.89712696941613,1.09694098475527,FALSE
"Hamby173","4","1",6,"Hamby252","6","1",2,0.254301437216172,0.0634248006384404,3.159508064244,2.97114578500641,1.29292929292929,13.5757575757576,0.646464646464647,5.81818181818182,2.06406012372524,FALSE
"Hamby252","7","2",6,"Hamby252","Unk","D",3,0.240825485371815,-0.0304404646152801,1.36721186947488,2.00095779451011,3.47826086956522,11.0144927536232,1.73913043478261,5.21739130434783,3.29447756044737,FALSE
"Hamby252","7","2",4,"Hamby252","Unk","Y",2,0.520312258280554,0.429600023188201,1.23540270922202,2.5906256792037,1.75022789425706,11.0847766636281,1.16681859617138,4.66727438468551,2.69256746776777,FALSE
"Hamby252","5","2",2,"Hamby173","6","1",2,0.456740523604844,-0.111774917218745,3.54429364988135,3.27716538326858,1.55088852988691,10.8562197092084,1.03392568659128,4.13570274636511,3.42219388945897,FALSE
"Hamby252","5","2",2,"Hamby252","Unk","E",1,0.328143835639254,0.0652758055269625,2.00697933718488,2.37089371646862,2.22996515679442,10.0348432055749,1.67247386759582,5.01742160278746,2.5906812174431,FALSE
"Hamby252","1","1",6,"Hamby173","Unk","U",6,0.325092845126127,-0.109817721401398,1.6575617911609,2.21185105348549,2.19178082191781,9.31506849315068,1.0958904109589,4.93150684931507,2.2481871349532,FALSE
"Hamby173","7","1",5,"Hamby173","Unk","G",5,0.113083878413328,-0.296131167994959,7.54918218720128,3.82092468644924,4.2911877394636,13.4865900383142,3.06513409961686,4.2911877394636,5.88885656955875,FALSE
"Hamby252","10","1",4,"Hamby173","7","1",5,0.256264197296214,-0.0694091410682745,4.16180388837474,3.45343097743521,1.06577851790175,10.1248959200666,0.532889258950874,5.86178184845962,3.21035363672777,FALSE
"Hamby252","8","2",1,"Hamby173","Unk","A",4,0.185345417287579,-0.239943939072594,4.9400111921051,3.68482287752317,4.15247364152474,5.70965125709651,3.63341443633414,3.63341443633414,5.35652318145003,FALSE
"Hamby173","5","1",2,"Hamby173","Unk","B",6,0.227164234607473,-0.0683104460611054,3.97214620537142,3.10809778746496,2.10353327855382,6.83648315529992,0.525883319638455,2.62941659819228,2.56837336127886,FALSE
"Hamby252","8","1",5,"Hamby252","Unk","X",6,0.198677342888944,-0.138313047145402,2.30269259151988,2.41128358494364,1.07925801011804,7.55480607082631,1.07925801011804,6.47554806070826,1.79493495754735,FALSE
